#PATH-POINTS-START red top
-160.02,43.18,120,90
111.844,-141.272,120
113.301,-143.352,120
113.503,-144.78,120,135
110.963,-144.78,120
108.423,-144.78,120
105.883,-144.78,120
103.343,-144.78,120
100.803,-144.78,120
98.263,-144.78,120
95.723,-144.78,120
93.183,-144.78,120
90.643,-144.78,120
88.103,-144.78,120
85.563,-144.78,120
83.023,-144.78,120
80.483,-144.78,120
77.943,-144.78,120
75.403,-144.78,120
72.863,-144.78,120
70.323,-144.78,120
67.783,-144.78,120
65.243,-144.78,120
62.703,-144.78,120
60.163,-144.78,120
57.623,-144.78,120
55.083,-144.78,120
52.543,-144.78,120
50.003,-144.78,120
47.463,-144.78,120
44.923,-144.78,120
42.383,-144.78,120
39.843,-144.78,120
37.303,-144.78,120
34.763,-144.78,120
32.223,-144.78,120
30.48,-144.78,120,270
30.48,-144.78,0,270
#PATH-POINTS-START blue top
160.02,43.18,120,270
157.48,43.18,120
154.94,43.18,120
152.4,43.18,120
149.86,43.18,120
147.32,43.18,120
144.78,43.18,120
142.24,43.18,120
139.7,43.18,120
137.16,43.18,120
134.62,43.18,120
132.08,43.18,120
129.54,43.18,120
127,43.18,120
124.46,43.18,120
121.92,43.18,120
119.38,43.18,120
116.84,43.18,120
114.3,43.18,120,270
114.3,45.72,120
114.3,48.26,120
114.3,50.8,120
114.3,53.34,120
114.3,55.88,120
114.3,58.42,120
114.3,60.96,120
114.3,63.5,120
114.3,66.04,120
114.3,68.58,120
114.3,71.12,120
114.3,73.66,120
114.3,76.2,120
114.3,78.74,120
114.3,81.28,120
114.3,83.82,120
114.3,86.36,120
114.3,88.9,120
114.3,91.44,120
114.3,93.98,120
114.3,96.52,120
114.3,99.06,120
114.3,101.6,120
114.3,104.14,120
114.3,106.68,120
114.3,109.22,120
114.3,111.76,120
114.3,114.3,120
114.3,116.84,120
114.3,119.38,120,90
116.84,119.38,120
119.38,119.38,120
121.92,119.38,120
124.46,119.38,120
127,119.38,120
129.54,119.38,120
132.08,119.38,120
134.62,119.38,120
137.16,119.38,120
139.7,119.38,120
142.24,119.38,120
144.78,119.38,120
147.32,119.38,120,90
144.78,119.38,120
142.24,119.38,120
139.7,119.38,120
137.16,119.38,120
134.62,119.38,120
132.08,119.38,120
129.54,119.38,120
127,119.38,120
